	Almacen	Fecha	Factura	Cliente	Total venta	Margen de utilidad	Comensales	valor_unidatio
550	Mi llanerita	24/9/2024	252	Consumidor final	118000	109259	1	109259.2593
551	Mi llanerita	24/9/2024	251	Consumidor final	74000	68518	1	68518.5185
552	Mi llanerita	24/9/2024	250	Consumidor final	23500	21760	1	21759.2593
553	Mi llanerita	24/9/2024	249	Consumidor final	128700	119169	1	119166.6667
554	Mi llanerita	24/9/2024	248	Consumidor final	20600	19075	1	19074.0741
555	Mi llanerita	24/9/2024	247	Consumidor final	78000	72221	1	72222.2222
556	Mi llanerita	24/9/2024	246	Consumidor final	39400	36483	1	36481.4815
557	Mi llanerita	24/9/2024	245	Consumidor final	56600	52482	1	52407.4074
558	Mi llanerita	24/9/2024	244	Consumidor final	23500	21760	1	21759.2593
559	Mi llanerita	24/9/2024	243	Consumidor final	159900	148054	1	148055.5556
560	Mi llanerita	24/9/2024	242	Consumidor final	38000	35185	1	35185.1852
561	Mi llanerita	24/9/2024	241	Consumidor final	112900	104536	1	104537.037
562	Mi llanerita	24/9/2024	240	Consumidor final	62400	57821	1	57777.7778
563	Mi llanerita	24/9/2024	239	Consumidor final	64500	59797	1	59722.2222
564	Mi llanerita	24/9/2024	238	Consumidor final	23500	21760	1	21759.2593
565	Mi llanerita	24/9/2024	237	Consumidor final	37500	34722	1	34722.2222
566	Mi llanerita	24/9/2024	236	Consumidor final	35000	32408	1	32407.4074
567	Mi llanerita	24/9/2024	235	Consumidor final	34000	31481	1	31481.4815
568	Mi llanerita	24/9/2024	234	Consumidor final	74000	68518	1	68518.5185
569	Mi llanerita	24/9/2024	233	Consumidor final	131800	122036	1	122037.037
570	Mi llanerita	24/9/2024	232	Consumidor final	130100	120463	1	120462.963
571	Mi llanerita	24/9/2024	231	Consumidor final	24000	22223	1	22222.2222
572	Mi llanerita	24/9/2024	230	Consumidor final	34000	31481	1	31481.4815
573	Mi llanerita	24/9/2024	229	Consumidor final	23500	21760	1	21759.2593
574	Mi llanerita	24/9/2024	228	NATURALES COSMETICOS ZOI	23500	21760	1	21759.2593
575	Mi llanerita	24/9/2024	227	Consumidor final	15900	14723	1	14722.2222
576	Mi llanerita	24/9/2024	226	Consumidor final	75700	70094	1	70092.5926
577	Mi llanerita	24/9/2024	225	Consumidor final	226000	209257	1	209259.2593
578	Mi llanerita	24/9/2024	224	Consumidor final	20000	18519	1	18518.5185
579	Mi llanerita	24/9/2024	223	Consumidor final	34000	31481	1	31481.4815
580	Mi llanerita	24/9/2024	222	Consumidor final	37900	35093	1	35092.5926
581	Mi llanerita	24/9/2024	221	Consumidor final	23500	21760	1	21759.2593
582	Mi llanerita	24/9/2024	220	Consumidor final	13900	12870	1	12870.3704
583	Mi llanerita	24/9/2024	219	Consumidor final	31000	28792	1	28703.7037
584	Mi llanerita	24/9/2024	218	Consumidor final	38000	35185	1	35185.1852
585	Mi llanerita	24/9/2024	216	Consumidor final	120000	111111	1	111111.1111
586	Mi llanerita	24/9/2024	215	Consumidor final	60500	56064	1	56018.5185
587	Mi llanerita	24/9/2024	214	Consumidor final	74000	68518	1	68518.5185
588	Mi llanerita	24/9/2024	213	Consumidor final	128000	118518	1	118518.5185
589	Mi llanerita	24/9/2024	212	Consumidor final	34000	31481	1	31481.4815
590	Mi llanerita	24/9/2024	211	OBRAS CIVILES Y MONTAJES INDUSTRIALES DE LOS ANDRES SAS	24000	22223	1	22222.2222
591	Mi llanerita	24/9/2024	210	Consumidor final	24900	23055	1	23055.5556
592	Mi llanerita	24/9/2024	209	Consumidor final	23500	21760	1	21759.2593
593	Mi llanerita	24/9/2024	208	Consumidor final	87600	81110	1	81111.1111
594	Mi llanerita	24/9/2024	207	LEIDY CATALINA DUARTE PEÑA	36100	33501	1	33425.9259
595	Mi llanerita	24/9/2024	206	MOTOPARTS SOLUTIONS	17900	16574	1	16574.0741
596	Mi llanerita	24/9/2024	205	Consumidor final	46400	42964	1	42962.963
597	Mi llanerita	24/9/2024	204	Consumidor final	112000	103702	1	103703.7037
598	Mi llanerita	24/9/2024	203	Consumidor final	42300	39166	1	39166.6667
599	Mi llanerita	24/9/2024	202	PRIMAX COLOMBIA SA	25900	23981	1	23981.4815
600	Mi llanerita	24/9/2024	201	Consumidor final	27800	25740	1	25740.7407
601	Mi llanerita	24/9/2024	200	Consumidor final	42200	39150	1	39074.0741
602	Mi llanerita	24/9/2024	199	Consumidor final	61000	56482	1	56481.4815
603	Mi llanerita	24/9/2024	198	Consumidor final	55900	51758	1	51759.2593
604	Mi llanerita	24/9/2024	435	Consumidor final	28100	26181	1	26018.5185
605	Mi llanerita	24/9/2024	197	Consumidor final	80700	74809	1	74722.2222
606	Mi llanerita	24/9/2024	196	Consumidor final	66000	61111	1	61111.1111
607	Mi llanerita	24/9/2024	195	Consumidor final	23500	21760	1	21759.2593
608	Mi llanerita	24/9/2024	194	Consumidor final	69000	63888	1	63888.8889
609	Mi llanerita	24/9/2024	193	Consumidor final	41500	38426	1	38425.9259
610	Mi llanerita	24/9/2024	192	Consumidor final	34000	31481	1	31481.4815
611	Mi llanerita	24/9/2024	191	GRAPAS Y PUNTILLAS EL CABALLO SA	77200	71644	1	71481.4815
612	Mi llanerita	24/9/2024	190	Consumidor final	50000	46297	1	46296.2963
613	Mi llanerita	24/9/2024	189	Consumidor final	49700	46018	1	46018.5185
614	Mi llanerita	24/9/2024	188	Consumidor final	50000	46297	1	46296.2963
615	Mi llanerita	24/9/2024	187	Consumidor final	37800	34999	1	35000.0
616	Mi llanerita	24/9/2024	186	Consumidor final	8000	7407	1	7407.4074
617	Mi llanerita	24/9/2024	185	Consumidor final	37900	35094	1	35092.5926
618	Mi llanerita	24/9/2024	184	Consumidor final	57400	53149	1	53148.1481
619	Mi llanerita	24/9/2024	183	Consumidor final	26200	24438	1	24259.2593
620	Mi llanerita	24/9/2024	182	Consumidor final	38000	35185	1	35185.1852
621	Mi llanerita	24/9/2024	181	Consumidor final	181000	167664	1	167592.5926
622	Mi llanerita	24/9/2024	180	Consumidor final	59600	55363	1	55185.1852
623	Mi llanerita	24/9/2024	179	Consumidor final	57000	52778	1	52777.7778
624	Mi llanerita	24/9/2024	178	Consumidor final	71000	65741	1	65740.7407
625	Mi llanerita	24/9/2024	177	Consumidor final	87000	62962	1	80555.5556
626	Mi llanerita	24/9/2024	176	Consumidor final	86500	80092	1	80092.5926
627	Mi llanerita	24/9/2024	175	Consumidor final	60500	56020	1	56018.5185
628	Mi llanerita	24/9/2024	174	Consumidor final	65500	60647	1	60648.1481
629	Mi llanerita	24/9/2024	173	Consumidor final	74000	68518	1	68518.5185
630	Mi llanerita	24/9/2024	172	Consumidor final	24000	22223	1	22222.2222
631	Mi llanerita	24/9/2024	171	Consumidor final	50000	46297	1	46296.2963
632	Mi llanerita	24/9/2024	170	Consumidor final	15400	14260	1	14259.2593
633	Mi llanerita	24/9/2024	169	Consumidor final	30000	27852	1	27777.7778
634	Mi llanerita	24/9/2024	168	Consumidor final	60000	55556	1	55555.5556
635	Mi llanerita	24/9/2024	167	Consumidor final	16000	14816	1	14814.8148
636	Mi llanerita	24/9/2024	166	Consumidor final	61000	56483	1	56481.4815
637	Mi llanerita	24/9/2024	165	Consumidor final	4000	3704	1	3703.7037
638	Mi llanerita	24/9/2024	164	Consumidor final	112400	104075	1	104074.0741
639	Mi llanerita	24/9/2024	163	Consumidor final	60500	56137	1	56018.5185
640	Mi llanerita	24/9/2024	162	Consumidor final	34000	31481	1	31481.4815
641	Mi llanerita	24/9/2024	161	Consumidor final	78100	72432	1	72314.8148
642	Mi llanerita	24/9/2024	160	Consumidor final	24000	22223	1	22222.2222
643	Mi llanerita	24/9/2024	159	Consumidor final	38000	35185	1	35185.1852
644	Mi llanerita	24/9/2024	158	CENTRO AGROPECUARIO Y VETERINARIA EL PARADERO S.A.S	23500	21760	1	21759.2593
645	Mi llanerita	24/9/2024	157	Consumidor final	112000	103702	1	103703.7037
646	Mi llanerita	24/9/2024	155	Consumidor final	23500	21760	1	21759.2593
647	Mi llanerita	24/9/2024	154	Consumidor final	20000	18519	1	18518.5185
648	Mi llanerita	24/9/2024	153	Consumidor final	91900	85094	1	85092.5926
649	Mi llanerita	24/9/2024	152	Consumidor final	44000	31481	1	40740.7407
650	Mi llanerita	24/9/2024	151	Consumidor final	24000	22223	1	22222.2222
651	Mi llanerita	24/9/2024	150	Consumidor final	32900	30581	1	30462.963
652	Mi llanerita	24/9/2024	149	Consumidor final	69000	63962	1	63888.8889
653	Mi llanerita	24/9/2024	148	Consumidor final	47000	43519	1	43518.5185
654	Mi llanerita	24/9/2024	147	Consumidor final	38900	36018	1	36018.5185
655	Mi llanerita	24/9/2024	146	Consumidor final	44000	31481	1	40740.7407
656	Mi llanerita	24/9/2024	145	Consumidor final	44000	40740	1	40740.7407
657	Mi llanerita	24/9/2024	144	Consumidor final	58300	53982	1	53981.4815
658	Mi llanerita	24/9/2024	143	Consumidor final	61000	56482	1	56481.4815
659	Mi llanerita	24/9/2024	142	Consumidor final	34000	31481	1	31481.4815
660	Mi llanerita	24/9/2024	141	INDUSTRIAS OVI S.A.S	17900	16574	1	16574.0741
661	Mi llanerita	24/9/2024	140	DISTRIBUIDORA UNIVERSAL DEL LLANO	33000	30644	1	30555.5556
662	Mi llanerita	24/9/2024	139	Consumidor final	56600	52482	1	52407.4074
663	Mi llanerita	24/9/2024	138	Consumidor final	14500	13470	1	13425.9259
664	Mi llanerita	24/9/2024	137	Consumidor final	60500	56137	1	56018.5185
665	Mi llanerita	24/9/2024	136	Consumidor final	37100	34559	1	34351.8519
666	Mi llanerita	24/9/2024	135	Consumidor final	15100	14026	1	13981.4815
667	Mi llanerita	24/9/2024	134	Consumidor final	20600	19119	1	19074.0741
668	Mi llanerita	24/9/2024	133	Consumidor final	20600	19119	1	19074.0741
669	Mi llanerita	24/9/2024	132	Consumidor final	140100	129797	1	129722.2222
670	Mi llanerita	24/9/2024	131	DISTRIBUCIONES FEDEAGRO VILLAVICENCIO S.A.S	15500	14396	1	14351.8519
671	Mi llanerita	24/9/2024	130	Consumidor final	45500	42129	1	42129.6296
672	Mi llanerita	24/9/2024	129	Consumidor final	29500	27427	1	27314.8148
673	Mi llanerita	24/9/2024	128	Consumidor final	30000	27940	1	27777.7778
674	Mi llanerita	24/9/2024	127	Consumidor final	64600	59890	1	59814.8148
